2 word both food,2 word 1 food,1 word 1 food,3 word
Shorshe Ilish,Bhuna Khichuri,Jhalmuri ,Chingri Malai Curry
Panta bhat,Bhaja Rui,Payesh,Shing Macher Jhol
Panta Ilish,Shahi Jilapi,Haleem ,Koi Macher Curry
Kacchi Biryani,Aloor Chop,Chorchori ,Magur Macher Jhol
Mutton Biryani,Grilled Chicken,Roshogolla ,
Morog Polao,Kala Bhuna,Rossomalai ,
Masoor Dal,Bhaja Ilish ,Pitha ,
Mishti Doi,Dimer chop,Shemai ,
Doi Chira,Seekh Kebab,Shingara ,
Mughlai Paratha,Dim Bhaji,Fuchka,
Doi Fuchka,Kolijar Shingara,Paratha ,
Begun Bhorta,Bhapa Pitha,Luchi ,
Alu Bhorta,Balish Misti,Chomchom ,
Lau Chingri,Pabda Jhaal,Jilapi,
Mishti doi,Mutton chaap,Laddu,
Dal Puri,Chitoi Pitha,Puri,
Shutki Bhorta,Muri Ghonto,Ruti,
Dal Bhorta,,Shandesh,
Aloo Potol,,Tehari,
,,Khichuri,
,,Bhorta ,
,,Borhani ,
,,Nehari,
,,Kabab,
,,Beguni,
,,Bakorkhani,
,,Korma ,
,,Naan,
,,Pakora,
,,Falooda ,
